prompt_index,timestamp_ns,prompt_text,typed_text,match
0,21746480500,train line 2 reaches station 16 at 7 20,train line 2 reaches station 16 at 7 20,YES
1,49567768541,bus route 45 departs stop 9 every 30 minutes,bus route 45 departs stop 9 every 30 minutes,YES
2,81830681791,hotel room 308 includes 2 beds and desk 1,hotel room 308 includes 2 beds and desk 1,YES
3,114929508750,gate 22 changed to gate 18 before boarding,gate 22 changed to gate 18 before boarding,YES
4,148727865083,seat 14a was moved to row 17 seat 14,seat 14a was moved to row 17 seat 14,YES
5,174837345916,taxi fare was 26 for a 12 km ride,taxi fare was 26 for a 12 km ride,YES
6,198873169125,flight 730 arrived at 5 55 in terminal 3,flight 730 arrived at 5 55 in terminal 3,YES
7,236190552791,car rental desk closes at 11 on sunday,car rental desk closes at 11 on sunday,YES
8,262293195208,map version 6 lists 9 nearby cafes,map version 6 lists 9 nearby cafes,YES
9,286277164041,platform 4 announcement repeated 3 times,platform 4 announcement repeated 3 times,YES
10,314388500250,train ticket 5520 covers zones 1 2 and 3,train ticket 5520 covers zones 1 2 and 3,YES
11,346840468750,luggage tag 77 matched claim number 77,luggage tag 77 matched claim number 77,YES
12,384465778750,shuttle 8 runs from lot 5 every 20 minutes,shuttle 8 runs from lot 5 every 20 minutes,YES
