prompt_index,timestamp_ns,prompt_text,typed_text,match
0,13753048250,please confirm task 101 before 9 am meeting,please confirm task 101 before 9 am meeting,YES
1,45626289375,team alpha will review sprint 5 at 2 pm,team alpha will review sprint 5 at 2 pm,YES
2,74971402458,send draft 3 to manager 7 by noon,send draft 3 to manager 7 by noon,YES
3,98630270333,project room 12 has 4 open seats today,project room 12 has 4 open seats today,YES
4,127743863416,daily standup starts at 10 and ends at 10 15,daily standup starts at 10 and ends at 10 15,YES
5,157653950583,we logged 28 bugs and closed 19 this week,we logged 28 bugs,NO
5,173083812916,we logged 28 bugs and closed 19 this week,we logged 28 bugs and closed 19 this week,YES
6,202290702208,client 24 requested invoice 8801 on monday,client 24 requested invoice 8801 on monday,YES
7,234387472000,backup job 6 failed at 1 30 and retried,backup job 6 failed at 1 30 and retried,YES
8,266637151583,printer 2 needs toner after 640 pages,printer 2 needs toner after 640 pages,YES
9,293339633625,office wifi 5g was stable for 8 hours,office wifi 5g was stable for 8 hours,YES
10,318070897291,the planner shows 11 tasks for day 3,the planner shows 11 tasks for day 3,YES
11,346088297750,mark checkpoint 2 after reading chapter 14,mark checkpoint 2 after reading chapter 14,YES
12,378856679416,return keycard 9 to desk 4 after lunch,return keycard 9 to desk 4 after lunch,YES
