prompt_index,timestamp_ns,prompt_text,typed_text,match
0,6254133291,open ticket 3201 and assign it to user 18,open ticket 3201 and assign it to user 18,YES
1,22468802708,api server 4 handled 920 requests in 5 minutes,api server handled 920 requests in 5 minutes,NO
1,37236022666,api server 4 handled 920 requests in 5 minutes,api server 4 handled 920 requests in 5 minutes,YES
2,52732974000,node 7 used 63 percent memory at 11 05,node 7 used 63 percent memory at 11 05,YES
3,66825729416,cache hit rate reached 97 on run 2,cache hit rate reached 97 on run 2,YES
4,77478996208,deploy build 41 to stage at 6 45 pm,deploy build 41 to stage at 6 45 pm,YES
5,94536067833,database shard 3 stored 240000 rows today,database shard 3 stored 24000 rows today,NO
5,107415674083,database shard 3 stored 240000 rows today,database shard 3 stored 240000 rows today,YES
6,121401866416,rotate logs every 12 hours on host 9,rotate logs every 12 hours on host 9,YES
7,133053372916,alert rule 15 triggers when cpu stays above 90,alert rule 15 triggers when cpu stays above 90,YES
8,147742773416,session 88 expired after 30 idle minutes,session 88 expired after 30 idle minutes,YES
9,160332151208,queue depth dropped from 44 to 6 overnight,queue depth dropped from 44 to 6 overnight,YES
10,175275919583,latency stayed near 23 ms during test 4,latency stayed near 23 ms during test4,NO
10,187294184833,latency stayed near 23 ms during test 4,latency stayed near 23 ms during test 4,YES
11,206221662875,service 10 restarted 2 times after patch 1,service 10 restarted 2 times after patch 1,YES
12,221655014125,monitor panel 5 shows green status for all pods,monitor panel 5 shows green status for all pods,YES
