prompt_index,timestamp_ns,prompt_text,typed_text,match
0,6662407833,student 12 solved 8 math problems before dinner,student 12 solved 8 math problems before dinner,YES
1,21380269291,chapter 15 includes 4 examples on linear models,chapter 15 includes 4 examples on linear models,YES
2,36534215625,exam room 6 opens at 8 30 for section 2,exam room 6 opens at 8 30 for section 2,YES
3,47374339250,the class average was 84 on quiz 9,the class average was 84 on quiz 9,YES
4,57472640916,read pages 50 to 63 and write summary 1,read pages 50 to 63 and write summary 1,YES
5,70198944041,team 3 built 2 prototypes in week 7,team 3 built 2 prototypes in week 7,YES
6,82838825208,lab group 5 measured 0 25 volts at node b,lab group 5 measured 0 25 volts at node b,YES
7,96149062833,history unit 4 covers years 1914 to 1918,history unit 4 covers years 1914 to 1918,YES
8,107762994791,practice set 11 has 30 short questions,practice set 11 has 30 short questions,YES
9,119547775500,submit homework 10 before 23 59 tonight,submit homework 10 before 23 59 tonight,YES
10,131183421166,score target is 95 after 14 study days,score target is 95 after 14 study days,YES
11,142161537583,library desk 2 issued book 34017,library desk 2 issued book 34017,YES
12,153103636791,course code cs101 meets on monday at 9,course code cs101 meets on monday at 9,YES
