prompt_index,timestamp_ns,prompt_text,typed_text,match
0,8304747958,they decided to travel across europe during the summer,they decided to travel across europe during the summer,YES
1,24735461125,the project deadline has been extended until next week,the project deadline has been extended until next week,YES
2,40229270708,my phone number is 8675309 please call me back,my phone number is 8675309 please call me back,YES
3,54542279208,the meeting is scheduled for 3 pm on march 14 2026,the meeting is scheduled for 3 pm on march 14 2026,YES
4,68897209791,room 207 is on the 2nd floor of building 5,room 207 is on the 2nd floor of building 5,YES
5,82324144583,the password requires at least 8 characters and 2 digits,the password requires at least 8 characters and 2 digits,YES
6,101003365875,flight 492 departs at 6 am from gate 17,flight 492 departs at 6 am from gate 17,YES
7,114625821666,order number 30518 was shipped on january 9 2026,order number 30518 was shipped on january 9 2026,YES
8,133099438000,the zip code for downtown is 10001,the zip code for downtown is 10001,YES
9,142180741916,add 250 grams of flour and 3 eggs to the mixture,add 250 grams of flour and 3 eggs to the mixture,YES
10,157784475041,chapter 7 starts on page 143 of the textbook,chapter 7 starts on page 143 of the textbook,YES
11,170741868666,the final score was 96 to 84 in overtime,the final score was 96 to 84 in overtime,YES
12,185593313125,apartment 4b is located at 123 elm street,apartment 4b is located at 123 elm street,YES
