prompt_index,timestamp_ns,prompt_text,typed_text,match
0,5918653458,runner 4 finished 5 km in 24 minutes,runner 4 finished 5 km in 24 minutes,YES
1,16661854583,team blue won game 3 by score 7 to 6,team blue won game 3 by score 7 to 6,YES
2,27927112833,coach planned 12 drills for day 5,coach planned 12 drills for day 5,YES
3,37829004875,cycle session lasted 45 minutes at zone 2,cycle session lasted 45 minutes at zone 2,YES
4,51338797291,heart rate stayed near 132 during lap 8,heart rate stayed near 132 during lap 8,YES
5,65577788416,pool lane 1 opens again at 6 am,pool lane 1 opens again at 6 am,YES
6,78418530666,the gym logged 210 checkins this month,the gym logged 210 checkins this month,YES
7,90176361000,player 9 hit 3 goals in period 2,player 9 hit 3 goals in period 2,YES
8,101618870125,set timer for 40 seconds and rest for 20,set timer for 40 seconds and rest for 20,YES
9,113465716000,workout plan 6 uses 4 rounds of squats,workout plan 6 uses 4 rounds of squats,YES
10,126392125541,track meet starts at 13 00 on saturday,track meet starts at 13 00 on saturday,YES
11,137557381083,referee assigned court 7 to team 11,referee assigned court 7 to team 11,YES
12,148642453458,medal count reached 18 after event 9,medal count reached 18 after event 9,YES
